Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2786029.66,358233.14,1439000.00,1121,0,1141,0,551,0,280,0,20,0.5370553777293092,3060
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,36196594.58,2549080.77,7513750.00,10784,0,10455,0,6957,0,3057,0,195,0.7662535072568336,30888
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,119913069.99,7530654.21,14145500.00,17058,0,4486,0,32913,0,5504,0,416,0.8326749684041341,57636
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,1045053.67,40504392.56,132703700.00,11490,2183,0,6008,0,13370,0,7844,946,0.8436640226993217,78384
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,34666020.29,16618646.34,135820800.00,14222,0,6095,0,15238,0,7612,0,943,0.8505506494236513,75444
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,979761.62,39436265.34,144103600.00,11201,2086,0,5854,0,13094,0,7412,950,0.8293634518724272,76452
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,1628527.74,42118312.75,151906000.00,11465,2140,0,5980,0,13864,0,7734,954,0.8193317716737871,76716
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,1298533.07,45298573.32,154102200.00,10612,2037,0,5419,0,12938,0,7230,941,0.8194558139170468,74208
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,1252204.71,43752175.32,159838800.00,5963,7163,0,5800,0,13778,0,7155,939,0.8187136435855551,73632
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,321243274.87,0.00,0,35195,0,13776,0,53599,0,6629,60,1.9318087533676167,23664
